real,pre,实际值与预测值差距比
1488.77,1503.5657101963734,
1487.74,1490.434522677449,
1459.21,1487.7867861655059,
1460.82,1458.797005722699,
1474.14,1457.279759342082,
1471.55,1470.5892055457523,
1484.38,1473.5819984257075,
1486.05,1484.2867240680166,
1479.73,1484.8688611115115,
1491.76,1475.4883796796735,
1484.31,1493.3743224688503,
1482.1,1482.184406930706,
1477.52,1483.840916682343,
1466.39,1480.149473834448,
1484.24,1468.3829002409243,
1472.27,1481.7790514749813,
1475.35,1470.4690157596474,
1493.53,1474.7719696419942,
1488.76,1497.7922679854482,
1483.86,1482.1731313690432,
1502.96,1482.7029404481887,
1518.7,1506.7444457334161,
1501.94,1519.322164464391,
1495.43,1497.332001150391,
1478.04,1494.8124520776003,
1484.48,1479.0560591198011,
1475.76,1483.0372691507202,
1480.13,1475.8840331336025,
1469.95,1480.1724551679577,
1478.01,1465.624805397539,
1473.76,1473.544835586573,
1482.41,1472.7903085863302,
1481.66,1482.5632309289679,
1484.84,1481.1168470180492,
1489.55,1484.3045203271045,
1492.46,1489.2524621961613,
1492.84,1489.3655741541875,
1491.96,1490.3274490159363,
1475.14,1487.9618772709566,
1471.17,1472.9420115904215,
1468.54,1470.0372199587373,
1482.78,1467.2457708875222,
1484.66,1481.683789077594,
1483.18,1480.5076768769522,
1473.67,1482.4653319672668,
1478.76,1471.6762243139103,
1479.84,1475.4427264728283,
1495.93,1476.425388629393,
1506.76,1497.0645368895184,
1541.9,1506.8056666092352,
1557.02,1548.301760255266,
1609.48,1554.1786708868763,
1611.85,1620.6215781970782,
1601.38,1609.1275345922365,
1621.85,1606.5547725223885,
1607.97,1623.2166792380108,
1644.63,1615.1507695093858,
1632.41,1655.0987537047283,
1619.01,1629.9391749022543,
1593.42,1614.6383908314294,
1595.66,1594.628016800772,
1619.25,1592.06701328068,
1607.91,1617.7303610541503,
1610.14,1605.156439379926,
1596.84,1611.5980462227778,
1612.0,1595.4162132058614,
1613.13,1612.59867998245,
1609.09,1612.8073601325355,
1600.34,1610.3159138970739,
1587.03,1596.4678665782878,
1594.18,1586.382724097223,
1577.43,1589.013103365641,
1573.39,1577.1278247521852,
1572.79,1572.3036990324267,
1563.89,1571.5644256528863,
1581.28,1567.3407237659287,
1586.02,1586.324241000503,
1607.5,1585.8305067244182,
1624.03,1610.5791659440933,
1637.29,1623.6724728212753,
1656.24,1634.8781174823328,
1645.11,1654.4142575575813,
1629.99,1639.4610358341504,
1622.81,1625.6715853509033,
1630.2,1623.2118221004635,
1624.07,1631.636973637864,
1600.92,1618.8414251617166,
1604.92,1601.476072341752,
1609.87,1596.8735195502181,
1619.58,1604.2097197103094,
1583.89,1617.2675166519946,
1595.64,1586.4162494900265,
1625.73,1593.0611944791483,
1618.52,1628.8699106963131,
1616.09,1615.5289753059428,
1621.82,1609.3200661033209,
1619.7,1622.7379257677205,
1633.57,1614.3055848388065,
1634.04,1632.118215134719,
1621.71,1626.2128549909219,
1605.99,1617.8080556690588,
1600.3,1601.0294221068702,
1612.77,1591.594784844146,
1608.74,1610.3493660816503,
1608.52,1613.248642893555,
1612.4,1611.3464900346198,
1600.84,1604.0942366756026,
1597.13,1595.4248617029725,
1586.56,1600.3721853858956,
