,Open,Close,sign,hold,balance,netAsset,profit,t
2015-08-24,2195.46,2058.25,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-08-25,1947.14,1914.05,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-08-26,1930.2,1942.45,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-08-27,1989.59,2094.72,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-08-28,2120.36,2159.96,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-08-31,2135.6,2210.45,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-01,2155.96,2230.32,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-02,2143.24,2243.63,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-07,2215.18,2133.98,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-08,2115.9,2180.13,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-09,2186.37,2211.2,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-10,2183.61,2208.48,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-11,2199.58,2195.39,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-14,2205.71,2228.15,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-15,2179.24,2175.17,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-16,2161.01,2241.95,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-17,2223.4,2194.82,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-18,2204.58,2198.99,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-21,2185.08,2214.45,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-22,2217.78,2237.31,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-23,2208.25,2178.55,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-24,2190.31,2188.09,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-25,2180.29,2183.4,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-28,2169.15,2169.94,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-29,2139.8,2127.2,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-09-30,2138.15,2146.12,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-08,2231.02,2191.34,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-09,2202.13,2219.29,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-12,2223.33,2283.43,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-13,2268.76,2270.95,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-14,2263.59,2253.91,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-15,2254.4,2297.9,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-16,2310.35,2323.78,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-19,2329.4,2318.47,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-20,2312.53,2337.08,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-21,2338.71,2340.36,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-22,2306.07,2331.79,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-23,2334.54,2343.96,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-26,2366.84,2350.02,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-27,2343.87,2349.9,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-28,2338.39,2310.7,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-29,2317.48,2307.35,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-10-30,2307.76,2312.97,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-11-02,2291.25,2280.09,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-11-03,2283.8,2271.65,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-11-04,2277.2,2370.5,-1.0,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-11-05,2368.61,2440.65,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-11-06,2430.65,2493.48,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-11-09,2501.73,2534.08,,0.0,1429963.1569250012,1429963.1569250012,0.0,
2015-11-10,2504.25,2522.68,1.0,570.0,1826.9456750012469,1429249.4456750012,0.0,1429249.4456750012
2015-11-11,2516.35,2505.83,1.0,570.0,1826.9456750012469,1430150.045675001,0.0,1430150.045675001
2015-11-12,2513.11,2476.43,1.0,570.0,1826.9456750012469,1413392.045675001,0.0,
2015-11-13,2454.18,2447.77,1.0,570.0,1826.9456750012469,1397055.8456750012,0.0,
2015-11-16,2410.04,2447.29,1.0,570.0,1826.9456750012469,1396782.2456750013,0.0,
2015-11-17,2462.22,2453.26,1.0,570.0,1826.9456750012469,1400185.1456750014,0.0,
2015-11-18,2455.58,2439.45,1.0,570.0,1826.9456750012469,1392313.4456750012,0.0,
2015-11-19,2444.88,2468.49,,570.0,1826.9456750012469,1408866.245675001,0.0,
2015-11-20,2469.7,2466.76,,570.0,1826.9456750012469,1407880.1456750014,0.0,
2015-11-23,2465.81,2456.84,,570.0,1826.9456750012469,1402225.7456750013,0.0,
2015-11-24,2449.97,2447.9,,570.0,1826.9456750012469,1397129.9456750012,0.0,
2015-11-25,2441.73,2459.56,,570.0,1826.9456750012469,1403776.1456750012,0.0,
2015-11-26,2468.52,2450.96,,570.0,1826.9456750012469,1398874.1456750012,0.0,
2015-11-27,2438.18,2334.44,,570.0,1826.9456750012469,1332457.7456750013,0.0,
2015-11-30,2325.07,2336.29,-1.0,0.0,1326454.2007250015,1326454.2007250015,-103508.95619999967,1326454.2007250015
2015-12-01,2334.14,2344.83,,0.0,1326454.2007250015,1326454.2007250015,0.0,
2015-12-02,2341.43,2458.41,-1.0,0.0,1326454.2007250015,1326454.2007250015,0.0,
2015-12-03,2441.91,2461.45,,0.0,1326454.2007250015,1326454.2007250015,0.0,
2015-12-04,2438.39,2397.56,,0.0,1326454.2007250015,1326454.2007250015,0.0,
2015-12-07,2398.09,2395.58,,0.0,1326454.2007250015,1326454.2007250015,0.0,
2015-12-08,2381.68,2364.34,,0.0,1326454.2007250015,1326454.2007250015,0.0,
2015-12-09,2357.88,2369.74,-1.0,0.0,1326454.2007250015,1326454.2007250015,0.0,
2015-12-10,2369.59,2357.21,-1.0,0.0,1326454.2007250015,1326454.2007250015,0.0,
2015-12-11,2346.86,2342.45,-1.0,0.0,1326454.2007250015,1326454.2007250015,0.0,
2015-12-14,2319.2,2414.92,-1.0,0.0,1326454.2007250015,1326454.2007250015,0.0,
2015-12-15,2408.15,2383.83,-1.0,0.0,1326454.2007250015,1326454.2007250015,0.0,
2015-12-16,2389.25,2376.54,-1.0,0.0,1326454.2007250015,1326454.2007250015,0.0,
2015-12-17,2391.4,2408.32,-1.0,0.0,1326454.2007250015,1326454.2007250015,0.0,
2015-12-18,2405.86,2422.83,-1.0,0.0,1326454.2007250015,1326454.2007250015,0.0,
2015-12-21,2415.63,2500.06,-1.0,0.0,1326454.2007250015,1326454.2007250015,0.0,
2015-12-22,2499.66,2496.05,1.0,530.0,971.9908250018489,1325791.7908250017,0.0,1325791.7908250017
2015-12-23,2497.37,2503.06,1.0,530.0,971.9908250018489,1327593.790825002,0.0,1327593.790825002
2015-12-24,2498.77,2481.75,1.0,530.0,971.9908250018489,1316299.4908250018,0.0,
2015-12-25,2483.66,2492.34,1.0,530.0,971.9908250018489,1321912.190825002,0.0,
2015-12-28,2498.78,2411.41,1.0,530.0,971.9908250018489,1279019.2908250017,0.0,
2015-12-29,2408.93,2432.88,1.0,530.0,971.9908250018489,1290398.390825002,0.0,
2015-12-30,2432.18,2432.77,1.0,530.0,971.9908250018489,1290340.090825002,0.0,
2015-12-31,2426.81,2420.8,0.0,530.0,971.9908250018489,1283995.9908250018,0.0,
2016-01-04,2417.02,2270.46,0.0,530.0,971.9908250018489,1204315.790825002,0.0,1204315.790825002
2016-01-05,2230.08,2288.11,,530.0,971.9908250018489,1213670.290825002,0.0,1213670.290825002
2016-01-06,2284.92,2317.65,,530.0,971.9908250018489,1229326.4908250018,0.0,1229326.4908250018
2016-01-07,2281.88,2180.59,,530.0,971.9908250018489,1156684.690825002,0.0,
2016-01-08,2225.48,2219.61,-1.0,0.0,1179886.6386250018,1179886.6386250018,1178914.6478,1179886.6386250018
2016-01-11,2182.85,2120.23,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-01-12,2135.94,2131.37,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-01-13,2152.72,2105.51,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-01-14,2056.41,2132.08,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-01-15,2119.56,2070.93,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-01-18,2040.41,2069.27,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-01-19,2075.19,2128.57,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-01-20,2115.13,2088.72,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-01-21,2069.39,2040.98,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-01-22,2062.63,2061.96,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-01-25,2067.56,2065.44,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-01-26,2046.04,1951.61,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-01-27,1961.4,1953.46,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-01-28,1943.83,1912.72,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-01-29,1915.13,1973.01,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-02-01,1970.21,1937.07,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-02-02,1935.22,1969.62,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-02-03,1947.83,1952.37,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-02-04,1962.87,1974.24,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-02-05,1970.69,1967.26,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-02-15,1916.42,1948.28,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-02-16,1957.91,2000.9,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-02-17,1997.68,2014.44,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-02-18,2022.55,2009.27,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-02-19,2005.41,2004.11,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-02-22,2025.18,2053.86,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-02-23,2051.57,2029.52,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-02-24,2020.59,2041.39,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-02-25,2038.16,1932.6,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-02-26,1946.96,1955.4,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-02-29,1951.68,1944.61,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-01,1944.56,1973.19,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-02,1980.46,2043.41,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-03,2043.37,2053.27,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-04,2045.12,2122.27,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-07,2122.55,2107.67,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-08,2102.25,2115.16,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-09,2073.27,2111.92,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-10,2089.86,2061.45,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-11,2043.25,2070.72,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-14,2079.91,2078.41,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-15,2077.51,2101.12,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-16,2087.28,2136.13,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-17,2135.06,2131.48,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-18,2140.27,2141.18,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-21,2156.95,2193.39,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-22,2181.98,2173.26,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-23,2170.16,2175.28,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-24,2161.17,2137.59,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-25,2137.15,2149.2,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-28,2152.81,2123.03,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-29,2127.8,2106.86,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-30,2124.53,2157.53,-1.0,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-03-31,2166.42,2156.54,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-01,2156.78,2167.78,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-05,2151.37,2180.26,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-06,2167.45,2168.04,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-07,2174.88,2139.4,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-08,2125.45,2123.8,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-11,2140.56,2148.44,-1.0,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-12,2147.81,2143.9,-1.0,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-13,2157.21,2171.31,-1.0,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-14,2183.12,2178.87,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-15,2182.11,2182.07,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-18,2166.0,2158.23,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-19,2169.89,2163.61,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-20,2166.28,2154.89,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-21,2138.29,2147.72,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-22,2135.92,2157.72,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-25,2149.25,2148.28,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-26,2146.41,2155.79,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-27,2157.86,2145.38,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-28,2149.07,2142.06,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-04-29,2136.84,2135.51,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-03,2136.2,2158.27,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-04,2152.43,2152.93,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-05,2149.47,2152.88,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-06,2152.5,2107.01,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-09,2100.64,2072.47,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-10,2061.99,2072.38,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-11,2078.29,2078.41,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-12,2067.75,2084.84,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-13,2079.64,2076.19,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-16,2068.92,2082.62,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-17,2081.57,2075.47,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-18,2067.72,2078.76,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-19,2072.37,2073.8,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-20,2067.46,2083.12,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-23,2082.97,2082.41,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-24,2080.01,2066.64,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-25,2079.48,2071.91,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-26,2070.24,2076.14,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-27,2075.21,2074.92,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-30,2076.93,2092.16,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-05-31,2092.22,2155.66,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-06-01,2155.5,2138.96,,0.0,1179886.6386250018,1179886.6386250018,0.0,
2016-06-02,2138.21,2137.65,1.0,551.0,1143.8517700019293,1179297.561770002,0.0,1179297.561770002
2016-06-03,2146.56,2152.64,1.0,551.0,1143.8517700019293,1187248.4917700018,0.0,1187248.4917700018
2016-06-06,2148.96,2136.32,1.0,551.0,1143.8517700019293,1178256.171770002,0.0,
2016-06-07,2141.65,2139.07,1.0,551.0,1143.8517700019293,1179771.421770002,0.0,
2016-06-08,2137.18,2132.96,1.0,551.0,1143.8517700019293,1176404.811770002,0.0,
2016-06-13,2113.91,2084.3,1.0,551.0,1143.8517700019293,1149593.151770002,0.0,
2016-06-14,2080.9,2095.02,,551.0,1143.8517700019293,1155499.871770002,0.0,
2016-06-15,2073.47,2106.63,,551.0,1143.8517700019293,1161896.981770002,0.0,
2016-06-16,2095.36,2094.81,,551.0,1143.8517700019293,1155384.161770002,0.0,
2016-06-17,2093.69,2102.2,,551.0,1143.8517700019293,1159456.0517700019,0.0,
2016-06-20,2109.57,2104.22,,551.0,1143.8517700019293,1160569.071770002,0.0,
