Date,Open,Close,MA,sign,hold,balance,netAsset,profit
2017/12/29,4022.88,4030.86,3893.93525,0,466,515.888155,1878896.648,0
2018/1/2,4045.21,4087.4,3866.412647,1,466,515.888155,515.888155,0
2018/2/12,3846.27,3890.1,3982.699632,-1,0,1791981.527,1791981.527,1791465.639
2018/2/23,4061.75,4071.09,3990.313015,1,440,3917.942245,1791087.942,0
2018/3/23,3896.74,3904.94,4036.852279,-1,0,1717626.259,1717626.259,-74355.2678
2018/12/28,2994.8,3010.65,3304.063015,0,0,1717626.259,1717626.259,0
2019/1/2,3017.07,2969.54,3298.042426,0,0,1717626.259,1717626.259,0
2019/2/11,3239.81,3306.47,3235.388529,1,529,2909.8397,1716769.33,0
2019/8/6,3609.11,3636.33,3702.742132,-1,0,1911174.42,1911174.42,193548.1607
2019/8/20,3786.03,3787.73,3742.606765,1,504,2061.220545,1910220.341,0
2019/12/31,4077.75,4096.58,3865.678309,0,504,2061.220545,2066737.541,0
2020/1/2,4121.35,4152.24,3869.335809,1,504,2061.220545,2061.220545,0
2020/2/4,3652,3785.64,3903.086103,-1,0,1841748.917,1841748.917,1839687.696
2020/2/11,3926.42,3952.46,3906.520074,1,468,3265.574265,1840830.134,0
2020/3/13,3771.01,3895.31,3958.545882,-1,0,1767215.838,1767215.838,-74533.07862
2020/5/7,3937.59,3924.89,3929.734485,1,448,2293.497765,1766333.818,0
2020/5/8,3943,3963.62,3930.035441,-1,0,1767874.266,1767874.266,658.42784
2020/5/11,3974.76,3960.18,3930.2925,1,444,2198.429045,1766991.869,0
2020/5/15,3941.13,3912.82,3932.125956,-1,0,1751185.218,1751185.218,-16689.04758
2020/5/20,3955.71,3935.22,3933.010735,1,442,1887.186275,1750311.006,0
2020/5/22,3907.58,3824.06,3932.543015,-1,0,1728173.971,1728173.971,-23011.24709
2020/6/2,3969.95,3983.57,3928.546103,1,435,382.25697,1727310.507,0
2020/12/31,5122.48,5211.29,4736.970147,0,435,382.25697,2267293.407,0
2021/1/4,5212.93,5267.72,4720.435177,1,435,382.25697,382.25697,0
2021/3/10,5047.06,5003.61,5019.915177,-1,0,2194755.621,2194755.621,2194373.364
2021/3/12,5153.67,5146.38,5026.070851,1,425,3350.716545,2193660.467,0
2021/3/22,5008.4,5057.15,5040.717092,-1,0,2130856.432,2130856.432,-63899.18987
2021/3/23,5057.06,5009.25,5043.058227,1,421,769.660415,2129791.92,0
2021/3/24,4985.4,4928.69,5044.546525,-1,0,2098573.634,2098573.634,-32282.79783
2021/3/31,5085.95,5048.36,5054.154752,1,412,2114.528015,2097525.928,0
2021/4/1,5059.94,5110.78,5056.24383,-1,0,2085767.46,2085767.46,-12806.17334
2021/4/2,5129.85,5161.56,5058.509362,1,406,2007.000825,2084726.101,0
2021/4/12,5026.98,4947.75,5069.462624,-1,0,2041940.404,2041940.404,-43827.05649
2021/4/20,5065.78,5083.37,5085.17234,1,402,4478.622105,2040922.182,0
2021/4/21,5055.24,5098.75,5088.477589,-1,0,2035668.999,2035668.999,-6271.40502
2021/4/22,5114.28,5089.24,5090.975106,1,397,4284.654285,2034653.814,0
2021/4/23,5088.83,5135.45,5094.124184,-1,0,2023540.032,2023540.032,-12128.96733
2021/4/26,5156.59,5077.24,5097.255248,1,392,1146.05989,2022529.34,0
2021/4/27,5076.64,5090.52,5100.362979,-1,0,1990193.918,1990193.918,-33346.11308
2021/4/29,5128.28,5164.17,5108.521277,1,387,4557.23627,1989201.596,0
2021/5/7,5073.46,4996.05,5118.589007,-1,0,1967004.542,1967004.542,-23189.37669
2021/5/18,5190.93,5187.6,5133.054752,1,378,3851.91599,1966023.456,0
2021/5/24,5138.81,5155.59,5144.158652,-1,0,1945350.861,1945350.861,-21653.68086
2021/5/25,5165.04,5318.48,5148.607163,1,376,2324.79338,1944379.833,0
2021/6/16,5163.25,5080.49,5194.513759,-1,0,1942736.102,1942736.102,-2614.75852
2021/6/28,5253.61,5251.76,5206.887163,1,369,3184.721335,1941766.811,0
2021/6/30,5189.38,5224.04,5210.245745,-1,0,1917108.501,1917108.501,-25627.60165
2021/7/1,5241.2,5229.66,5211.398652,1,365,3113.981725,1916151.982,0
2021/7/5,5073.78,5085.79,5211.70156,-1,0,1854117.717,1854117.717,-62990.78385
2021/12/9,5000.69,5078.69,4993.840496,1,370,2937.289225,1853192.589,0
2021/12/20,4934.97,4880.42,4984.797518,-1,0,1827963.22,1827963.22,-26154.4971
2021/12/31,4937.46,4940.37,4960.402695,0,0,1827963.22,1827963.22,0
