,Open,Close,sign,hold,balance,netAsset,profit
2017-12-28,3993.0,4018.9,-1.0,0.0,1741916.2932550036,1741916.2932550036,-33109.384379999945
2017-12-29,4022.88,4030.86,0.0,0.0,1741916.2932550036,1741916.2932550036,0.0
2018-01-02,4045.21,4087.4,0.0,0.0,1741916.2932550036,1741916.2932550036,0.0
2018-01-03,4091.46,4111.39,1.0,425.0,2176.358005003771,1741046.8580050038,0.0
2018-02-07,4205.74,4050.5,-1.0,0.0,1788722.1382550038,1788722.1382550038,46805.845000000205
2018-03-13,4124.33,4091.25,1.0,433.0,1994.3308100041468,1787829.220810004,0.0
2018-03-19,4054.62,4074.25,-1.0,0.0,1756766.9655800043,1756766.9655800043,-31955.172674999572
2018-12-28,2994.8,3010.65,0.0,0.0,1756766.9655800043,1756766.9655800043,0.0
2019-01-02,3017.07,2969.54,0.0,0.0,1756766.9655800043,1756766.9655800043,0.0
2019-02-11,3239.81,3306.47,1.0,541.0,3153.3869750043377,1755890.5969750043,0.0
2019-04-29,3896.58,3900.33,-1.0,0.0,2110149.142085004,2110149.142085004,353382.17650499986
2019-06-14,3690.48,3654.88,1.0,571.0,1831.4300450040027,2109095.510045004,0.0
2019-06-17,3654.44,3654.82,-1.0,0.0,2087473.3274250042,2087473.3274250042,-22675.814659999916
2019-06-20,3718.94,3828.52,1.0,561.0,104.82475500414148,2086430.1647550042,0.0
2019-07-19,3787.51,3807.96,-1.0,0.0,2123835.5382000045,2123835.5382000045,36362.210775000276
2019-07-25,3821.39,3851.07,1.0,555.0,1903.6524750050157,2122775.1024750047,0.0
2019-08-05,3724.41,3675.69,-1.0,0.0,2067917.678700005,2067917.678700005,-55917.859499999555
2019-08-21,3778.31,3781.76,1.0,547.0,148.7409150050953,2066884.3109150052,0.0
2019-09-27,3843.46,3852.65,-1.0,0.0,2101470.1746050054,2101470.1746050054,33552.49590500048
2019-10-14,3944.86,3953.24,1.0,532.0,1755.321845005732,2100420.8418450058,0.0
2019-10-24,3877.92,3870.67,-1.0,0.0,2063777.2351250057,2063777.2351250057,-37692.93947999971
2019-10-29,3929.71,3910.23,1.0,524.0,3579.6111050057225,2062747.6511050058,0.0
2019-11-14,3905.93,3905.86,-1.0,0.0,2049263.5774450058,2049263.5774450058,-14513.657679999946
2019-11-20,3940.13,3907.86,1.0,519.0,3313.6437100057956,2048241.1137100058,0.0
2019-11-21,3894.54,3889.6,-1.0,0.0,2023569.2705800058,2023569.2705800058,-25694.306864999933
2019-12-10,3886.44,3900.38,1.0,520.0,1609.9961800058372,2022558.796180006,0.0
2019-12-31,4077.75,4096.58,0.0,520.0,1609.9961800058372,2131831.596180006,0.0
2020-01-02,4121.35,4152.24,0.0,520.0,1609.9961800058372,2160774.7961800057,0.0
2020-02-03,3639.91,3688.36,-1.0,0.0,1893416.819580006,1893416.819580006,1891806.8234
2020-02-18,4069.83,4057.51,1.0,464.0,4071.499020006275,1892472.6190200062,0.0
2020-03-02,3968.84,4069.67,-1.0,0.0,1844692.4881400063,1844692.4881400063,-48724.33143999963
2020-03-03,4125.14,4091.36,1.0,446.0,3960.1419200061355,1843772.5819200063,0.0
2020-03-12,3976.11,3950.91,-1.0,0.0,1776418.5293900063,1776418.5293900063,-68273.95874999999
2020-05-06,3867.26,3936.25,1.0,459.0,458.65322000626475,1775530.9932200063,0.0
2020-05-25,3828.32,3829.32,-1.0,0.0,1756778.9337800066,1756778.9337800066,-19639.595609999727
