shortMA,mediumMA,netAsset
3,37,7952322.618065057
3,38,9366582.855320077
3,39,8794805.140600065
3,40,9236152.977845063
3,41,9083090.31412506
3,42,9247375.715045044
3,43,9564005.115155082
3,44,9255976.15921007
3,45,10084870.588380061
3,46,9493280.035720069
3,47,8992519.004640052
3,48,9275162.754750047
3,49,10235676.683900066
3,50,9847189.06603005
3,51,9381855.591395061
3,52,9283522.580355056
3,53,9527440.08267506
3,54,9003959.263270056
3,55,10826536.281430064
3,56,10416918.72178506
3,57,11059517.672120046
3,58,10249247.75764505
3,59,9128045.869925065
3,60,9131170.891020045
3,61,9044488.760095054
3,62,9637349.012410058
3,63,10259048.853185046
3,64,9269868.701580036
3,65,9170221.846480051
3,66,8239451.885540048
3,67,8827142.42900006
3,68,9543601.980935052
3,69,9778592.935955059
3,70,9487952.749730043
3,71,9371908.65091504
3,72,9596848.79821505
3,73,9031412.106405044
3,74,9118074.866160044
3,75,8664623.20076005
3,76,8805783.281980049
3,77,9154003.031615043
3,78,9356929.423070049
3,79,9477372.612145057
3,80,9554163.928675052
3,81,9262431.015280047
3,82,9405399.790565036
3,83,9278664.638185056
3,84,8139769.215435056
3,85,8400201.692320041
3,86,8286139.622695033
3,87,7414400.9416250475
3,88,8132448.210855043
3,89,8012370.295820033
3,90,8482993.128630029
3,91,9395732.917155039
3,92,9202336.549260044
3,93,9397694.812730042
3,94,9732331.899610048
3,95,9280691.297175048
3,96,9105138.428870045
3,97,9285328.788775034
3,98,9233468.077370027
3,99,9177001.918275036
3,100,9813736.557055047
4,20,3926050.5610700566
4,21,4031526.072985064
4,22,4374710.845155065
4,23,4220690.064890063
4,24,4867311.185420067
4,25,5247987.1143250745
4,26,5512794.712815065
4,27,4605474.029160051
4,28,4774449.787515055
4,29,5917029.704365056
4,30,6539281.5686000595
4,31,6535211.857965053
4,32,6978859.524595057
4,33,7204252.642470064
4,34,6521770.812145059
4,35,6546604.306410057
4,36,6409040.83609505
4,37,6779524.77000005
4,38,6886025.441275053
4,39,7185067.349445056
4,40,9489497.499490073
4,41,10114493.68441006
4,42,10986264.666755054
4,43,10038696.663970055
4,44,10162142.128385067
4,45,9449142.761725051
4,46,8690257.49673505
4,47,8413879.182075052
4,48,10142888.140315052
4,49,9802177.044510053
4,50,10600233.270930056
4,51,9604542.764770048
4,52,10078397.230240053
4,53,9506255.725520039
4,54,10031631.07641504
4,55,9719681.942035055
4,56,10677393.442265052
4,57,10706361.365860045
4,58,10309382.96907505
4,59,10194242.725580046
4,60,8645872.507950045
4,61,8940604.453950036
4,62,9335386.506075043
4,63,9774538.023460027
4,64,10139246.157465033
4,65,10265896.77308504
4,66,9719165.555260038
4,67,8061008.823585048
4,68,8580463.03053005
4,69,8787984.661720052
4,70,8858336.263390044
4,71,8422303.183965048
