,DEA2,DEA1,netAsset
249,-99,-52,947633.296005001
250,-99,-51,984851.115335001
251,-99,-50,995131.0431500013
252,-99,-49,995131.0431500013
253,-99,-48,995131.0431500013
254,-99,-47,966744.171085002
255,-99,-46,966744.171085002
256,-99,-45,966744.171085002
257,-99,-44,966744.171085002
258,-99,-43,966744.171085002
259,-99,-42,872293.526405002
260,-99,-41,872293.526405002
261,-99,-40,872293.526405002
262,-99,-39,850578.0960450023
263,-99,-38,850578.0960450023
264,-99,-37,850578.0960450023
265,-99,-36,850578.0960450023
266,-99,-35,816074.9320850023
267,-99,-34,816074.9320850023
268,-99,-33,816074.9320850023
269,-99,-32,816074.9320850023
270,-99,-31,970295.6854750029
271,-99,-30,923596.056785002
272,-99,-29,923596.056785002
273,-99,-28,938097.0957850021
274,-99,-27,938097.0957850021
275,-99,-26,938097.0957850021
276,-99,-25,914525.3190350023
277,-99,-24,851793.8727850021
278,-99,-23,851793.8727850021
279,-99,-22,851793.8727850021
280,-99,-21,886398.3560550022
281,-99,-20,886398.3560550022
282,-99,-19,886398.3560550022
283,-99,-18,871480.5794600022
284,-99,-17,871480.5794600022
285,-99,-16,881330.5413900029
286,-99,-15,853618.6260850021
287,-99,-14,853618.6260850021
288,-99,-13,811920.0707850024
289,-99,-12,805088.8308350026
290,-99,-11,768378.574580003
291,-99,-10,768378.574580003
292,-99,-9,768378.574580003
293,-99,-8,804624.9731050028
294,-99,-7,804624.9731050028
295,-99,-6,804624.9731050028
296,-99,-5,804624.9731050028
297,-99,-4,777531.0156200023
298,-99,-3,764073.4769150026
299,-99,-2,752115.6827600031
300,-99,-1,752115.6827600031
301,-99,0,752115.6827600031
302,-99,1,752115.6827600031
303,-99,2,735908.7943150033
304,-99,3,780412.3599750033
305,-99,4,759251.5925550031
306,-99,5,759251.5925550031
307,-99,6,759251.5925550031
308,-99,7,759251.5925550031
309,-99,8,765220.9905000032
310,-99,9,853107.8697150032
311,-99,10,853529.0092250033
312,-99,11,834896.129835003
313,-99,12,824687.7928550033
314,-99,13,840958.7247700033
315,-99,14,840958.7247700033
316,-99,15,835711.7552050034
317,-99,16,840711.5304000035
318,-99,17,840711.5304000035
319,-99,18,840711.5304000035
320,-99,19,880184.1068000047
321,-99,20,880184.1068000047
322,-99,21,880184.1068000047
323,-99,22,880184.1068000047
324,-99,23,880184.1068000047
325,-99,24,866527.4976400053
326,-99,25,866527.4976400053
327,-99,26,1122382.2129450059
328,-99,27,1122382.2129450059
329,-99,28,1122382.2129450059
330,-99,29,1105155.2027650054
331,-99,30,1105155.2027650054
332,-99,31,1082908.4402000052
333,-99,32,1125579.3196300047
334,-99,33,1125579.3196300047
335,-99,34,1364226.898225006
336,-99,35,1364226.898225006
337,-99,36,1364226.898225006
338,-99,37,1364226.898225006
339,-99,38,1364226.898225006
340,-99,39,1364226.898225006
341,-99,40,1349177.6161900058
342,-99,41,1349177.6161900058
343,-99,42,1349177.6161900058
344,-99,43,1324093.084400007
345,-99,44,1324093.084400007
346,-99,45,1324093.084400007
347,-99,46,1324093.084400007
348,-99,47,1324093.084400007
349,-99,48,1324093.084400007
350,-99,49,1324093.084400007
351,-99,50,1324093.084400007
352,-99,51,1324093.084400007
353,-99,52,1324093.084400007
354,-99,53,1324093.084400007
