DEA2,DEA1,netAsset
-100,81,5393616.691935068
-100,82,5393616.691935068
-100,83,5393616.691935068
-100,84,5393616.691935068
-100,85,5393616.691935068
-100,86,5393616.691935068
-100,87,5393616.691935068
-100,88,5402327.104815066
-100,89,5402327.104815066
-100,90,5402327.104815066
-100,91,5402327.104815066
-100,92,5402327.104815066
-100,93,5112686.587075056
-100,94,5112686.587075056
-100,95,5112686.587075056
-100,96,5112686.587075056
-100,97,5112686.587075056
-100,98,5112686.587075056
-100,99,5112686.587075056
-100,100,5112686.587075056
-99,-100,612001.0993900003
-99,-99,612001.0993900003
-99,-98,595241.9297400005
-99,-97,595241.9297400005
-99,-96,595241.9297400005
-99,-95,595241.9297400005
-99,-94,595241.9297400005
-99,-93,635426.1679900003
-99,-92,635426.1679900003
-99,-91,635426.1679900003
-99,-90,635426.1679900003
-99,-89,635426.1679900003
-99,-88,635426.1679900003
-99,-87,635426.1679900003
-99,-86,635426.1679900003
-99,-85,635426.1679900003
-99,-84,635426.1679900003
-99,-83,635426.1679900003
-99,-82,661687.0175000008
-99,-81,661687.0175000008
-99,-80,661687.0175000008
-99,-79,661687.0175000008
-99,-78,661687.0175000008
-99,-77,661687.0175000008
-99,-76,661687.0175000008
-99,-75,651210.8476200005
-99,-74,651210.8476200005
-99,-73,651210.8476200005
-99,-72,651210.8476200005
-99,-71,651210.8476200005
-99,-70,719012.2664650006
-99,-69,719012.2664650006
-99,-68,764951.3202950008
-99,-67,764951.3202950008
-99,-66,764951.3202950008
-99,-65,764951.3202950008
-99,-64,764951.3202950008
-99,-63,797362.8630950007
-99,-62,776363.5904300008
-99,-61,776363.5904300008
-99,-60,776363.5904300008
-99,-59,735309.4984450012
-99,-58,688238.3684750017
-99,-57,688238.3684750017
-99,-56,688238.3684750017
-99,-55,688238.3684750017
-99,-54,688238.3684750017
-99,-53,679669.8571800014
-99,-52,679669.8571800014
-99,-51,684010.0289500012
-99,-50,690893.8687200017
-99,-49,690893.8687200017
-99,-48,680524.5221550018
-99,-47,661543.5579100023
-99,-46,793331.9888650026
-99,-45,793331.9888650026
-99,-44,793331.9888650026
-99,-43,764291.4327300028
-99,-42,689225.7882500025
-99,-41,730466.5565850033
-99,-40,697058.4767700032
-99,-39,680055.8217600031
-99,-38,680055.8217600031
-99,-37,640162.6329300031
-99,-36,640162.6329300031
-99,-35,613641.2007350033
-99,-34,613641.2007350033
-99,-33,613641.2007350033
-99,-32,613641.2007350033
-99,-31,729952.5036750034
-99,-30,693521.554905003
-99,-29,693521.554905003
-99,-28,704668.2202850037
-99,-27,731303.8397600041
-99,-26,734329.7168150039
-99,-25,716454.373830004
-99,-24,733620.6597300044
-99,-23,733620.6597300044
-99,-22,733620.6597300044
-99,-21,763684.7397750046
-99,-20,763684.7397750046
-99,-19,902623.8912950048
-99,-18,861927.0969600049
-99,-17,823231.2338500051
-99,-16,833103.210870004
-99,-15,813455.5634650047
-99,-14,788803.3819400051
-99,-13,723050.9967700054
-99,-12,716705.6884300052
-99,-11,763472.6586350051
-99,-10,759012.7683950054
-99,-9,733592.2804900054
-99,-8,768108.1378250053
-99,-7,921210.7793250066
-99,-6,905728.7164050069
-99,-5,905728.7164050069
-99,-4,865281.0973550073
-99,-3,850933.3020550072
-99,-2,807677.5032050067
-99,-1,834575.297645008
-99,0,834575.297645008
-99,1,834575.297645008
-99,2,816444.3173150072
-99,3,866692.2130950071
-99,4,843275.4698100073
-99,5,843275.4698100073
-99,6,843275.4698100073
-99,7,1056147.472520011
-99,8,1063880.5739550116
-99,9,1284602.3374450149
-99,10,1285128.3684000147
-99,11,1257282.380860014
-99,12,1241511.6940850152
-99,13,1266442.2143400146
-99,14,1424358.3195900149
-99,15,1383931.8270750146
-99,16,1392350.1915400159
-99,17,1359125.8054150129
