,Close,netAsset,closeFR,netAssetFR
2016-07-20,3237.61,1392597.8625500002,0.38951429809916605,0.3925978625500002
2016-07-21,3252.52,1399009.1625500002,0.3959133573387466,0.39900916255000024
2016-07-22,3225.16,1387244.3625500002,0.3841710192572626,0.3872443625500002
2016-07-25,3230.89,1389708.26255,0.3866302150616085,0.38970826255000013
2016-07-26,3269.59,1406349.26255,0.4032394432689707,0.4063492625500001
2016-07-27,3218.24,1384268.76255,0.3812011004150159,0.3842687625500001
2016-07-28,3221.14,1385515.76255,0.3824457195830095,0.3855157625500001
2016-07-29,3203.93,1378115.46255,0.37505954858950297,0.37811546255000006
2016-08-01,3176.81,1366453.8625500002,0.3634202134736461,0.3664538625500002
2016-08-02,3189.05,1371717.0625500001,0.3686733647206259,0.37171706255000014
2016-08-03,3193.51,1373634.8625500002,0.3705875031651953,0.37363486255000017
2016-08-04,3201.29,1376980.26255,0.37392651596760546,0.3769802625500001
2016-08-05,3205.11,1378622.8625500002,0.37556597983716944,0.3786228625500002
2016-08-08,3234.18,1391122.96255,0.38804221404874595,0.39112296255000006
2016-08-09,3256.98,1400926.96255,0.397827495783316,0.40092696255000004
2016-08-10,3243.34,1395061.76255,0.39197349390351194,0.3950617625500001
2016-08-11,3233.36,1390770.3625500002,0.3876902872495203,0.3907703625500002
2016-08-12,3294.23,1416944.46255,0.4138144144066813,0.41694446255000006
2016-08-15,3393.42,1459596.1625500002,0.4563846817422951,0.45959616255000024
2016-08-16,3378.25,1453073.0625500001,0.44987403595661846,0.4530730625500001
2016-08-17,3373.05,1450837.0625500001,0.4476423050346991,0.45083706255000017
2016-08-18,3364.49,1447156.26255,0.4439685325940007,0.4471562625500001
2016-08-19,3365.02,1447384.1625500002,0.4441959974764272,0.44738416255000024
2016-08-22,3336.79,1435245.26255,0.4320802736445452,0.4352452625500001
2016-08-23,3341.83,1437412.46255,0.4342433359227133,0.43741246255000005
2016-08-24,3329.86,1432265.3625500002,0.42910606301206417,0.4322653625500002
2016-08-25,3308.97,1423282.66255,0.420140513212276,0.42328266255
2016-08-26,3307.09,1422474.26255,0.4193336566481976,0.4224742625500001
2016-08-29,3307.78,1422770.9625500003,0.4196297901743754,0.4227709625500003
2016-08-30,3311.99,1424581.26255,0.4214366338630831,0.4245812625500001
2016-08-31,3327.79,1431375.26255,0.42821766243353077,0.4313752625500001
2016-09-01,3301.58,1420104.96255,0.4169688802290098,0.42010496255000007
2016-09-02,3314.11,1425492.8625500002,0.42234649339278885,0.4254928625500002
2016-09-05,3319.68,1427887.96255,0.42473702055338325,0.42788796255000006
2016-09-06,3342.63,1437756.4625500003,0.4345866791414702,0.4377564625500003
2016-09-07,3340.82,1436978.1625500002,0.43380986510903286,0.4369781625500002
2016-09-08,3339.56,1436436.3625500002,0.4332690995394908,0.4364363625500002
2016-09-09,3318.04,1427182.76255,0.42403316695493176,0.4271827625500001
2016-09-12,3262.6,1403343.5625500001,0.40023948189508274,0.40334356255000015
2016-09-13,3260.33,1402367.46255,0.3992652455118602,0.40236746255000005
2016-09-14,3238.73,1393079.46255,0.3899949786054256,0.39307946255000004
2016-09-19,3263.12,1403567.16255,0.4004626549872747,0.40356716255
2016-09-20,3257.4,1401107.5625500001,0.3980077509731634,0.40110756255000013
2016-09-21,3266.64,1405080.76255,0.40197336514980475,0.4050807625500001
2016-09-22,3291.12,1415607.16255,0.4124796676437641,0.41560716255
2016-09-23,3275.67,1408963.6625500002,0.4058488517315227,0.4089636625500002
2016-09-26,3220.28,1385145.9625500003,0.382076625622846,0.3851459625500003
2016-09-27,3240.75,1393948.0625500001,0.3908619202327866,0.39394806255000014
2016-09-28,3230.89,1389708.26255,0.3866302150616085,0.38970826255000013
2016-09-29,3244.39,1395513.26255,0.39242413187813013,0.3955132625500001
2016-09-30,3253.28,1399335.9625500003,0.3962395333965657,0.3993359625500003
2016-10-10,3293.87,1416789.66255,0.4136599099582407,0.41678966255
2016-10-11,3306.56,1422246.3625500002,0.41910619176577113,0.4222463625500002
2016-10-12,3300.01,1419429.8625500002,0.4162950691621996,0.4194298625500002
2016-10-13,3302.65,1420565.0625500001,0.4174281017840971,0.42056506255000015
2016-10-14,3305.85,1421941.0625500001,0.4188014746591244,0.42194106255000013
2016-10-17,3277.88,1409913.9625500003,0.40679733737333845,0.4099139625500003
2016-10-18,3321.33,1428597.46255,0.42544516594206927,0.42859746255000003
2016-10-19,3316.24,1426408.76255,0.4232606447127288,0.4264087625500001
2016-10-20,3318.6,1427423.5625500001,0.42427350720806156,0.42742356255000014
2016-10-21,3327.74,1431353.76255,0.4281962034823584,0.4313537625500001
2016-10-24,3367.58,1448484.96255,0.4452946957764491,0.44848496255000003
2016-10-25,3367.45,1448429.0625500001,0.44523890250340104,0.44842906255000015
2016-10-26,3354.8,1442989.5625500001,0.4398097878568087,0.44298956255000016
2016-10-27,3345.7,1439076.5625500001,0.43590425874344946,0.43907656255000016
2016-10-28,3340.13,1436681.4625500003,0.43351373158285506,0.4366814625500003
2016-10-31,3336.28,1435025.9625500003,0.4318613923425878,0.4350259625500003
2016-11-01,3359.05,1444817.0625500001,0.44163379870645436,0.44481706255000014
2016-11-02,3333.35,1433766.0625500001,0.4306038978038908,0.43376606255000016
2016-11-03,3365.08,1447409.96255,0.44422174821783394,0.44740996255000004
2016-11-04,3354.17,1442718.6625500002,0.4395394050720376,0.44271866255000025
2016-11-07,3356.59,1443759.26255,0.4405780183087771,0.4437592625500001
2016-11-08,3371.12,1450007.16255,0.44681398951944806,0.45000716255
2016-11-09,3353.05,1442237.0625500001,0.4390587245657781,0.44223706255000017
2016-11-10,3390.61,1458387.8625500002,0.4551786886864117,0.4583878625500002
2016-11-11,3417.22,1469830.16255,0.4665991425003109,0.46983016255
2016-11-14,3430.25,1475433.0625500001,0.47219134517581307,0.4754330625500002
2016-11-15,3429.87,1475269.66255,0.4720282571469035,0.47526966255
2016-11-16,3429.59,1475149.26255,0.4719080870203387,0.4751492625500001
2016-11-17,3436.53,1478133.4625500003,0.47488658944305434,0.4781334625500003
2016-11-18,3417.46,1469933.3625500002,0.4667021454659381,0.4699333625500002
2016-11-21,3441.11,1480102.8625500002,0.4768522293704372,0.4801028625500002
2016-11-22,3468.36,1491820.3625500002,0.4885473577593421,0.49182036255000017
2016-11-23,3474.73,1494559.46255,0.49128122813869335,0.49455946255000005
2016-11-24,3488.74,1500583.76255,0.49729402625717245,0.5005837625500001
2016-11-25,3521.3,1514584.5625500001,0.511268095260576,0.5145845625500002
2016-11-28,3535.08,1520509.96255,0.5171821822036624,0.52050996255
2016-11-29,3564.04,1532962.76255,0.52961120672266,0.5329627625500001
2016-11-30,3538.0,1521765.5625500001,0.5184353849521249,0.5217655625500002
2016-12-01,3565.04,1533392.76255,0.5300403857461061,0.5333927625500001
2016-12-02,3528.95,1517874.0625500001,0.5145513147899381,0.5178740625500001
2016-12-05,3469.41,1492271.8625500002,0.4889979957339603,0.4922718625500002
2016-12-06,3459.15,1487860.0625500001,0.48459461895340394,0.48786006255000014
2016-12-07,3475.75,1494998.0625500001,0.49171899074260833,0.4949980625500002
2016-12-08,3470.14,1492585.76255,0.48931129642107596,0.4925857625500001
2016-12-09,3493.7,1502716.5625500001,0.4994227542134649,0.5027165625500002
2016-12-12,3409.18,1466372.96255,0.4631485431518047,0.46637296255000005
2016-12-13,3405.04,1464592.76255,0.4613717419947381,0.4645927625500001
2016-12-14,3378.95,1453374.0625500001,0.4501744612730306,0.4533740625500001
2016-12-15,3340.43,1436810.46255,0.4336424852898888,0.43681046255000006
2016-12-16,3346.03,1439218.4625500003,0.4360458878211868,0.4392184625500003
2016-12-19,3328.98,1431886.96255,0.4287283854714316,0.43188696255000003
2016-12-20,3309.06,1423321.3625500002,0.4201791393243862,0.4233213625500002
2016-12-21,3338.54,1435997.76255,0.4328313369355758,0.4359977625500001
2016-12-22,3335.67,1434763.6625500002,0.43159959313828566,0.43476366255000026
2016-12-23,3307.6,1422693.5625500001,0.419552537950155,0.4226935625500001
2016-12-26,3322.4,1429057.5625500001,0.4259043874971566,0.42905756255000016
2016-12-27,3316.39,1426473.26255,0.42332502156624574,0.4264732625500001
2016-12-28,3301.89,1420238.26255,0.417101925726278,0.4202382625500001
2016-12-29,3297.76,1418462.3625500002,0.415329416359446,0.4184623625500002
2016-12-30,3310.08,1423759.96255,0.4206169019283012,0.42375996255000004
2017-01-03,3342.23,1437584.46255,0.4344150075320917,0.43758446255000005
2017-01-04,3368.31,1448798.8625500002,0.4456079964635647,0.4487988625500002
2017-01-05,3367.79,1448575.26255,0.44538482337137275,0.4485752625500001
2017-01-06,3347.67,1439923.6625500002,0.4367497414196383,0.43992366255000026
2017-01-09,3363.9,1446902.5625500001,0.4437153169701677,0.44690256255000016
2017-01-10,3358.27,1444481.6625500002,0.44129903906816637,0.44448166255000027
2017-01-11,3334.5,1434260.5625500001,0.4310974536808538,0.4342605625500002
2017-01-12,3317.62,1432765.7342,0.4238529117650844,0.4327657342000001
2017-01-13,3319.91,1432765.7342,0.42483573172877587,0.4327657342000001
2017-01-16,3319.45,1432765.7342,0.42463830937799063,0.4327657342000001
2017-01-17,3326.36,1432765.7342,0.427603936430003,0.4327657342000001
2017-01-18,3339.37,1432765.7342,0.43318755552503596,0.4327657342000001
2017-01-19,3329.29,1431339.1054250002,0.42886143096869983,0.4313391054250002
2017-01-20,3354.89,1442321.5054250003,0.43984841396891866,0.4423215054250003
2017-01-23,3364.08,1446264.0154250003,0.4437925691943879,0.4462640154250003
2017-01-24,3364.45,1446422.745425,0.4439513654330629,0.4464227454250001
