shortEMA,mediumEMA,netAsset
2,46,5562737.138785023
2,47,6066665.075905019
2,48,5859627.09947502
2,49,5145228.3066050215
2,50,5368702.486315017
2,51,5361123.436120025
2,52,5347767.570845026
2,53,5438389.909460023
2,54,5386182.318385016
2,55,4978481.631775023
2,56,5040855.554945019
2,57,5072139.605170019
2,58,5335994.3079100195
2,59,5140483.184255023
2,60,4973805.430315018
2,61,4935384.0117300255
2,62,4670345.57436502
2,63,4680318.366795024
2,64,4815358.315420024
2,65,4906642.213460027
2,66,5296858.631375022
2,67,4825524.571125028
2,68,4675363.554945029
2,69,4564262.224905034
2,70,4321774.685190025
2,71,4352714.553390025
2,72,4598656.776105027
2,73,4784734.057835033
2,74,4776453.565970028
2,75,4844482.1970300255
2,76,4874406.126800024
2,77,4940252.485195025
2,78,4645924.048385023
2,79,5023099.804285023
2,80,4846110.735855023
2,81,4799144.334025025
2,82,4863749.910725024
2,83,4440837.297710022
2,84,4440837.297710022
2,85,4563017.639455023
2,86,4301630.317985026
2,87,4187306.512905019
2,88,4170130.507385016
2,89,4179917.8561650114
2,90,3961822.960410013
2,91,3999490.8124700137
2,92,4224713.447185015
2,93,4336552.575755015
2,94,4286469.074530018
2,95,3987584.915390016
2,96,3845798.0658650124
2,97,3759474.5409300136
2,98,3799514.8193550184
2,99,3754934.3077200125
2,100,3919400.732605017
3,20,5127804.632675037
3,21,4727596.701510033
3,22,4922309.991470034
3,23,4960433.34608503
3,24,5719929.311225032
3,25,5438950.769880026
3,26,5609769.392315026
3,27,4924869.398685022
3,28,5213656.885945019
3,29,4696157.906580024
3,30,4799311.1194150215
3,31,4848397.3706050245
3,32,4806082.298515028
3,33,4862161.290480027
3,34,5271437.570920025
3,35,5495926.1595750265
3,36,5227110.184430022
3,37,4733827.776735014
3,38,4993808.006160021
3,39,4698345.501690021
3,40,4884846.053745023
3,41,4618267.259860023
3,42,4487575.528305014
3,43,5055038.8796200175
3,44,5181984.716945019
3,45,4871247.945600021
3,46,5249133.908045019
3,47,5097366.649785013
3,48,5196700.443170018
3,49,5479232.15377002
3,50,5275007.172020016
3,51,4991633.525345016
3,52,5047174.283230017
3,53,4930109.716175014
3,54,4920470.805945017
3,55,4968128.8062300235
3,56,4755703.590970022
3,57,4667394.924760019
3,58,4486167.433465018
3,59,4722546.737995024
3,60,4823800.608295024
3,61,4842737.920640014
3,62,4953381.800900017
3,63,4832299.69016002
3,64,4786821.732230013
3,65,4881940.081555022
3,66,5126519.264710022
3,67,5309215.328335018
3,68,4938609.153400022
3,69,5286250.914175025
3,70,4988486.895435022
3,71,4998828.770590022
3,72,4982411.270130021
3,73,5264845.791195022
3,74,5068364.035375027
3,75,4787418.122925021
3,76,4865360.145370014
3,77,4646749.594075017
3,78,4886910.41164002
3,79,4924239.011350019
3,80,4762727.084340017
3,81,4747360.079045013
3,82,4727638.962980014
3,83,4316949.91921002
3,84,4154769.6711500213
3,85,4282213.245900011
3,86,4048456.4051850196
3,87,4085594.6992250183
3,88,4072703.9139750176
3,89,4031207.8901350116
3,90,3887354.919985015
3,91,4059412.7404950177
3,92,4134507.461350018
3,93,3977507.7884400156
