,Open,Close,sign,hold,balance,netAsset,profit,preClose,preShortEMA,preMediumEMA,preLongEMA
2017-01-06,3366.85,3347.67,1.0,468.0,1538.5127300031018,1577224.3127300031,0.0,3367.79,3344.0040537636696,3341.182065257345,3332.755748538949
2017-01-13,3317.96,3319.91,-1.0,0.0,1553567.3900900031,1553567.3900900031,-24444.76553999982,3317.62,3338.950015351429,3340.4455855435276,3333.3976154530933
2017-01-23,3359.05,3364.08,1.0,462.0,910.3495400031097,1552791.4495400032,0.0,3354.89,3337.8213996707673,3336.903757336723,3333.287532050893
2017-03-06,3427.25,3446.48,-1.0,0.0,1583508.154790003,1583508.154790003,29940.76469999994,3427.86,3445.067291197761,3446.5250946573506,3356.3038213387317
2017-03-15,3452.21,3463.64,1.0,458.0,1605.418700003298,1582717.5987000032,0.0,3456.69,3447.454783471932,3446.6847703150856,3363.2434125325713
2017-03-31,3434.82,3456.05,-1.0,0.0,1573966.4049200034,1573966.4049200034,-9541.749869999709,3436.76,3459.4482861544184,3460.4645434034046,3376.1874459729725
2017-04-06,3507.99,3514.05,1.0,448.0,1601.0951600035187,1573180.6151600035,0.0,3503.89,3471.4523908951114,3468.4433077781796,3378.562700543811
2017-04-19,3452.99,3445.88,-1.0,0.0,1547767.1454000035,1547767.1454000035,-26199.259519999847,3462.74,3485.990861415363,3488.249213426793,3390.5958054921616
2017-05-17,3423.19,3409.97,1.0,451.0,3136.526055003749,1546995.2160550037,0.0,3428.65,3393.874512891982,3393.746921344114,3394.4205796393726
2017-08-11,3687.93,3647.35,-1.0,0.0,1665561.3278400039,1665561.3278400039,117794.18244000035,3715.92,3726.1827548669244,3726.5885103748474,3514.4921695642106
2017-08-21,3731.84,3740.99,1.0,446.0,328.48752000392415,1664729.127520004,0.0,3724.67,3712.5140989281317,3712.224837663705,3526.902775640764
2017-09-26,3810.33,3820.78,-1.0,0.0,1698885.963930004,1698885.963930004,33324.63609000016,3817.79,3831.8156272053934,3832.4420708061907,3603.5545136318256
2017-10-10,3883.0,3889.86,1.0,437.0,1166.5284300041385,1698037.5284300041,0.0,3882.21,3843.8917864590267,3839.670915361773,3616.664158451934
2017-11-28,4034.21,4055.82,-1.0,0.0,1763234.8235450042,1763234.8235450042,64348.8596150002,4049.95,4110.9839987753585,4112.703235011915,3755.217812952292
2017-12-22,4064.91,4054.6,1.0,433.0,2248.740530004259,1762354.7705300043,0.0,4067.85,4033.404836300356,4030.3515895536875,3805.64238026529
2017-12-28,3993.0,4018.9,-1.0,0.0,1730353.2560300042,1730353.2560300042,-32881.567515,3991.21,4028.867506325582,4030.161371081191,3816.0064256173746
2017-12-29,4022.88,4030.86,0.0,0.0,1730353.2560300042,1730353.2560300042,0.0,4018.9,4026.0196473754154,4027.9090968649534,3818.3385356677495
2018-01-02,4045.21,4087.4,0.0,0.0,1730353.2560300042,1730353.2560300042,0.0,4030.86,4025.9513566099736,4032.458255948562,3897.436741284177
2018-01-03,4091.46,4111.39,1.0,422.0,2893.837970004184,1729489.9579700043,0.0,4087.4,4050.530813965984,4037.452959953238,3900.576629857993
2018-02-07,4205.74,4050.5,-1.0,0.0,1776828.706830004,1776828.706830004,46475.45079999976,4148.89,4223.84401416844,4246.690145823824,4021.780045369887
2018-03-13,4124.33,4091.25,1.0,430.0,2480.075880004093,1775941.975880004,0.0,4127.67,4097.180567797426,4081.8690644127705,4024.4215393950158
2018-03-19,4054.62,4074.25,-1.0,0.0,1745094.932580004,1745094.932580004,-31733.774250000017,4056.42,4076.6859615865465,4080.736511449198,4027.9493901763685
2018-12-28,2994.8,3010.65,0.0,0.0,1745094.932580004,1745094.932580004,0.0,2990.51,3012.1435784660316,3108.0580337385422,3300.3147576387073
2019-01-02,3017.07,2969.54,0.0,0.0,1745094.932580004,1745094.932580004,0.0,3010.65,3023.6550753973124,3037.0565846818577,3295.52691040501
2019-02-11,3239.81,3306.47,1.0,538.0,1205.6436900040135,1744223.423690004,0.0,3247.4,3199.3894906246214,3189.9956900082752,3241.5853783994985
2019-03-27,3724.41,3743.39,-1.0,0.0,2003936.357400004,2003936.357400004,258841.42482000007,3700.44,3768.6133049919335,3771.765188926832,3419.44720059626
2019-04-01,3901.17,3973.93,1.0,513.0,1635.4972950043157,2002935.7072950043,0.0,3872.34,3786.365840011638,3782.805431827028,3437.134165727058
2019-04-26,3921.89,3889.28,-1.0,0.0,2012559.1025100043,2012559.1025100043,8622.74511000025,3941.82,4013.565563063547,4018.8915584725746,3591.6090386546466
2019-06-12,3706.86,3691.1,1.0,542.0,2436.4234500043094,2011554.5434500044,0.0,3719.28,3637.9576290393807,3635.132610414116,3621.18668951935
2019-07-10,3807.95,3786.74,-1.0,0.0,2065313.3690000044,2065313.3690000044,52754.26649000007,3793.13,3839.9595676090075,3841.364626405636,3673.070735875883
2019-07-26,3835.23,3858.57,1.0,538.0,927.9521300045308,2064281.6921300045,0.0,3851.07,3815.5893371086127,3813.140774397323,3696.6942753011845
2019-08-05,3724.41,3675.69,-1.0,0.0,2003658.6658400046,2003658.6658400046,-61654.7031599998,3747.44,3807.385657781384,3812.052710549375,3709.1137698321872
2019-08-20,3786.03,3787.73,1.0,528.0,3635.313920004526,2002659.1539200046,0.0,3791.09,3719.529854890541,3714.940737897825,3704.5197904850374
2019-09-24,3895.87,3901.08,-1.0,0.0,2059626.1642400045,2059626.1642400045,55967.498399999924,3890.66,3916.9466021838834,3917.293306888879,3762.322290860261
2019-10-14,3944.86,3953.24,1.0,521.0,3326.468210004503,2058598.5282100046,0.0,3911.73,3872.3618259713535,3871.9590322731337,3776.0612674103545
2019-10-22,3896.32,3895.88,-1.0,0.0,2032294.1968500046,2032294.1968500046,-27331.96738999989,3880.84,3896.1694199763906,3896.3203867746406,3789.171522988311
2019-10-29,3929.71,3910.23,1.0,516.0,3549.971670004539,2031280.3316700046,0.0,3926.59,3898.636628632488,3897.0050568260494,3797.4330890931274
2019-11-01,3883.81,3952.39,-1.0,0.0,2006593.9086900046,2006593.9086900046,-25700.288159999996,3886.75,3895.418887985601,3895.5058360649314,3802.2374256845155
2019-11-04,3964.01,3978.12,1.0,505.0,3767.946165004745,2005592.9961650048,0.0,3952.39,3911.696348561143,3908.1467613838354,3804.719286417003
2019-11-13,3905.28,3899.98,-1.0,0.0,1974948.262965005,1974948.262965005,-31645.64572499972,3903.69,3937.7205846584084,3939.4078448031605,3821.9772295039315
2019-12-09,3909.53,3895.45,1.0,504.0,3559.9414050048217,1973963.061405005,0.0,3902.39,3872.679962950325,3871.6762742436586,3836.678377177702
2019-12-31,4077.75,4096.58,0.0,504.0,3559.9414050048217,2068236.261405005,0.0,4081.63,4028.7092584649754,4019.4907425952715,3871.9740972490586
2020-01-02,4121.35,4152.24,0.0,504.0,3559.9414050048217,2096288.9014050048,0.0,4096.58,4062.7592164457765,3998.742725915402,3875.686591509405
2020-02-03,3639.91,3688.36,-1.0,0.0,1837157.3240850049,1837157.3240850049,1833597.38268,4003.9,4086.528305128297,4113.711850678463,3938.555540610047
2020-02-18,4069.83,4057.51,1.0,451.0,746.2474200048018,1836239.5774200049,0.0,4077.42,4010.3827178833626,3988.596113249616,3934.168615889896
