sellD,buyD,netAsset
25,26,363648.7822050026
25,27,379490.050715003
25,28,371443.34683500364
25,29,467478.7879850055
25,30,510988.1004100063
25,31,403638.5154700058
25,32,383110.49887000537
25,33,368898.06339000625
25,34,364720.5016100059
25,35,345971.7970850053
25,36,324010.7543000053
25,37,323348.8013050058
25,38,388763.4794850062
25,39,382920.5259750062
25,40,368474.63735000737
25,41,387752.6039150076
25,42,420291.94938000775
25,43,430602.5999600077
25,44,413422.5577350081
25,45,459408.3612650083
25,46,448771.8142800087
25,47,397368.72136000765
25,48,388140.93220000895
25,49,361755.0858550094
25,50,377943.3158900096
25,51,406306.2866350109
25,52,413176.33046501083
25,53,425105.55736501137
25,54,424113.6663900116
25,55,428344.8017650106
25,56,438669.19571501075
25,57,410854.00345501065
25,58,484553.3921000112
25,59,451508.36027001066
25,60,449865.3610750109
25,61,548674.3722500139
25,62,535345.2179650143
25,63,514671.06741001393
25,64,521019.516000014
25,65,494896.7013750135
25,66,516977.2834750149
25,67,513337.69246501575
25,68,508357.98945001594
25,69,502032.422415015
25,70,589798.2178300151
25,71,607869.9084400164
25,72,616315.9068950161
25,73,713381.1495800201
25,74,707875.3969800223
25,75,732650.4840750213
25,76,727854.4286700216
25,77,795909.8700200226
25,78,799775.5678650201
25,79,735205.0972100203
25,80,752388.9107050212
25,81,755167.3971400221
25,82,725960.5526700203
25,83,737711.7507750249
25,84,736122.408485024
25,85,841104.8257650267
25,86,858393.3464950292
25,87,821327.74045503
25,88,828831.9308100292
25,89,774830.6687500284
25,90,769541.3539950288
26,10,996009.12556
26,11,868863.2446900001
26,12,868863.2446900001
26,13,865985.474975
26,14,818285.3192400006
26,15,769121.3487300011
26,16,713074.3576150007
26,17,731754.0057550009
26,18,666497.3783200022
26,19,524203.5833250016
26,20,507648.48672000144
26,21,479083.12343500165
26,22,556907.5588050021
26,23,411274.73022500187
26,24,426007.5384600022
26,25,363424.13785000204
26,26,360368.8293250018
26,27,376129.14791000326
26,28,380624.82657000324
26,29,478575.07843000535
26,30,522372.5503900057
26,31,412941.349875005
26,32,392495.2684850045
26,33,377777.9888100059
26,34,372894.05875500536
26,35,354041.9312050057
26,36,331625.9685450054
26,37,330992.75720500527
26,38,398135.38483500545
26,39,391970.378600006
26,40,377617.3774100075
26,41,397135.8667850071
26,42,429731.26379500737
26,43,440678.9577550075
26,44,423693.2732150085
26,45,470632.9433650085
26,46,459423.95273000846
26,47,406727.0419800075
26,48,397201.42591000797
26,49,369914.34558500885
26,50,387184.9609900087
26,51,415540.0660900103
26,52,423257.7625400104
26,53,435110.1749450098
26,54,433801.50201001007
26,55,438581.45752001106
26,56,448758.9499450114
26,57,420568.5343200113
26,58,495955.48077001184
26,59,463131.52293001144
26,60,460303.48888001137
26,61,561410.8583250149
26,62,548633.5484100153
26,63,526916.8086400167
26,64,533838.8593150142
26,65,506375.1142850153
26,66,528892.480805017
26,67,526181.1576750157
26,68,520570.89500501513
26,69,514236.02717001556
26,70,603907.9163350157
26,71,622687.9499000171
26,72,630684.7279450155
26,73,729917.4692550205
26,74,725096.1335250208
26,75,750823.5811550205
26,76,744896.212520022
26,77,814702.4134750214
26,78,818999.1113650199
26,79,752394.0166850212
26,80,769869.1940550207
26,81,773265.5806500228
26,82,743690.2910650226
26,83,755495.9707850242
26,84,752793.8785250246
26,85,860561.6271850292
26,86,879351.8636650264
26,87,841419.7934050281
26,88,847917.9811050312
26,89,792690.1496400295
26,90,787475.555830027
27,10,996009.12556
27,11,896819.2996700002
27,12,896819.2996700002
27,13,893844.4944300003
27,14,844616.6239450008
27,15,794041.2648750009
27,16,736132.5875550008
27,17,755071.3167100021
27,18,687765.968355002
27,19,541217.5407700017
27,20,523884.6601600019
27,21,494583.73757000174
27,22,574681.0782300022
27,23,424634.60998000193
27,24,450031.9304550023
27,25,384268.34516500204
27,26,376966.6085050022
27,27,386689.12758500275
27,28,388702.4335250028
27,29,494481.2317100055
27,30,539976.9526600068
27,31,443357.6866050037
27,32,421325.7083500045
27,33,405338.8821500056
27,34,404283.12806500617
27,35,382589.8716300054
27,36,359024.3138950056
27,37,358448.56928000605
27,38,430308.70829500695
27,39,424178.0580350069
27,40,409028.90723500715
27,41,429586.3466850078
27,42,465668.02250000753
27,43,477490.7605950077
27,44,458224.51095500815
27,45,508723.27814500843
27,46,497850.7997850079
27,47,440400.87330000784
27,48,430190.63298500894
27,49,400631.90071000945
27,50,419347.7880250094
27,51,449911.28413501097
27,52,458231.7722950107
27,53,470959.9392550106
27,54,469001.88749501057
27,55,474628.0139300113
27,56,486022.9151400115
27,57,455172.0767000112
27,58,537269.1239750131
27,59,500359.3651800117
27,60,498542.8440850119
27,61,606565.0016800129
27,62,592493.5135750122
27,63,569634.817275013
27,64,577502.4722350171
27,65,548372.0705300175
27,66,572937.7275850179
27,67,570283.9027450169
27,68,563948.8686050157
27,69,556582.295575016
27,70,653994.3483600167
27,71,674334.5119050167
27,72,682405.1614000171
27,73,790762.3613900194
27,74,784929.7108050203
27,75,812725.8013550204
27,76,807020.1513450233
