sellJ,buyJ,netAsset
33,76,1373402.3759500335
33,77,1377506.4336600364
33,78,1349833.8656550373
33,79,1253303.0991600377
33,80,1235383.9708450378
33,81,1420819.4591300364
33,82,1410070.2936450385
33,83,1469378.95500004
33,84,1580484.3509300402
33,85,1527601.0072700453
33,86,1527601.0072700453
33,87,1518746.8959250445
33,88,1622405.4166250434
33,89,1526244.1573850485
33,90,1559378.4755500457
34,10,859560.595355008
34,11,832739.7626750099
34,12,911270.4906100096
34,13,890709.2805500092
34,14,792164.9291600094
34,15,779063.168705009
34,16,825331.8733900099
34,17,895646.901610013
34,18,887269.5690750121
34,19,964966.6721950147
34,20,840259.2994300124
34,21,903700.429640015
34,22,903319.5566800152
34,23,925006.5227400144
34,24,899476.1005100135
34,25,869245.5313200138
34,26,964528.8664300164
34,27,969772.9981500164
34,28,1006409.2589850158
34,29,1075922.8369100168
34,30,1075922.8369100168
34,31,1075922.8369100168
34,32,1105363.3804650195
34,33,1227812.232475019
34,34,1227375.9807550192
34,35,1211529.7531300194
34,36,1195627.3640150214
34,37,1048546.3756650179
34,38,1082776.4982100187
34,39,1126518.240320019
34,40,1088804.340255018
34,41,1146861.326695019
34,42,1170546.2375200214
34,43,1237867.1397400214
34,44,1297711.7899250204
34,45,1250756.291920022
34,46,1192596.5819000218
34,47,1297358.067040022
34,48,1297358.067040022
34,49,1283780.3560450228
34,50,1256175.2312750292
34,51,1271661.3229550237
34,52,1116785.5247550225
34,53,1085154.5467250228
34,54,1118106.3760000244
34,55,1110257.5842650228
34,56,1092731.415235023
34,57,1064913.4528150256
34,58,1071477.0475650257
34,59,1046460.8893900238
34,60,1071047.2361200256
34,61,1092200.6147500249
34,62,1093578.3401450242
34,63,1180455.7415750274
34,64,1144783.5927600262
34,65,1162105.4305900256
34,66,1312916.8306900307
34,67,1319365.504330033
34,68,1291453.329440033
34,69,1187485.0078250298
34,70,1246905.411515031
34,71,1263803.4392450324
34,72,1226972.3949500306
34,73,1245825.3843250293
34,74,1324275.866215031
34,75,1324275.866215031
34,76,1332663.1462950367
34,77,1336030.498735036
34,78,1310125.9850750363
34,79,1216404.0317400352
34,80,1197984.614850035
34,81,1378934.391255036
34,82,1367400.217190032
34,83,1424948.395145041
34,84,1529980.8937650404
34,85,1481606.9701750395
34,86,1481606.9701750395
34,87,1473618.971025042
34,88,1573597.4193650398
34,89,1478350.9085550434
34,90,1512006.613415047
35,10,851570.1140750084
35,11,825177.0482250095
35,12,903199.0546450096
35,13,882644.196450009
35,14,784720.7162650091
35,15,772238.7932600089
35,16,818108.8562100098
35,17,887175.6082600127
35,18,879572.6670750123
35,19,955935.3811050152
35,20,833021.2601000122
35,21,895620.4216200148
35,22,895239.548660015
35,23,916531.6666900142
35,24,891342.6846850137
35,25,861261.3931650136
35,26,955887.4039900164
35,27,960993.9461500166
35,28,997468.3587000158
35,29,1066254.0780550167
35,30,1066254.0780550167
35,31,1066254.0780550167
35,32,1095412.8508900194
35,33,1216844.7130500183
35,34,1216312.0305650185
35,35,1200603.763925019
35,36,1184825.7179400213
35,37,1039010.0341450176
35,38,1072908.2098900191
35,39,1116146.1905250184
35,40,1079065.7111350182
35,41,1136456.5363350192
35,42,1159995.8152250203
35,43,1226726.5574600222
35,44,1285816.2558900204
35,45,1239218.985765022
35,46,1181823.8955800228
35,47,1285188.9367000223
35,48,1285188.9367000223
35,49,1272225.890810022
35,50,1244829.6133750284
35,51,1260272.523210023
35,52,1106480.3118950222
35,53,1075240.5804150226
35,54,1108012.9184850245
35,55,1100157.5357700232
35,56,1083046.634495023
35,57,1055168.8012050253
35,58,1061797.1673700255
35,59,1037082.7137750236
35,60,1061513.8702750255
35,61,1082235.3854850244
35,62,1083649.4005600242
35,63,1169754.7203900279
35,64,1134442.796585026
35,65,1151450.5285150246
35,66,1301023.25397003
35,67,1307638.779975033
35,68,1279724.7735700323
35,69,1176737.9996450294
35,70,1235748.9771550319
35,71,1252311.212045032
35,72,1215903.477805031
35,73,1234196.6766950297
35,74,1312378.4043750311
35,75,1312378.4043750311
35,76,1320220.3488450365
35,77,1324171.2774500356
35,78,1298446.9341600358
35,79,1205413.4707300349
35,80,1187135.4455300344
35,81,1366318.0321050363
35,82,1354951.5264200312
35,83,1411880.0009100412
35,84,1515995.1915100396
35,85,1467967.50756504
35,86,1467967.50756504
35,87,1460350.536455042
35,88,1559223.6350250393
35,89,1465258.4319450448
35,90,1498351.7680750475
36,10,851570.1140750084
36,11,825177.0482250095
36,12,882575.4236700096
36,13,862352.5239450093
36,14,768010.3390950089
36,15,755887.7765400093
36,16,800185.3594100106
36,17,867906.583030012
36,18,860667.6516700132
36,19,935620.6047550152
36,20,813510.258875012
36,21,875322.3118550137
36,22,874949.5425750138
36,23,896822.4571950134
36,24,871861.4421750141
36,25,842595.9105500127
36,26,934724.2059950153
36,27,924070.030035016
36,28,958202.979585017
36,29,1025479.9054300175
36,30,1025479.9054300175
36,31,1025479.9054300175
36,32,1052966.6076000181
36,33,1171131.6958300185
36,34,1169697.4768200186
36,35,1154609.8271100186
36,36,1137828.4650650185
36,37,998420.4699600184
36,38,1031170.7939800185
36,39,1073354.3453700193
36,40,1037969.5292050183
