,real,predict,bestPastDays,bestMa,ratio
2015-02-16,2431.21,2437.165985806566,,,
2015-02-17,2445.26,2431.2723293809654,,,
2015-02-25,2407.46,2448.8305930243555,,,
2015-02-26,2478.06,2409.5764905169503,,,
2015-02-27,2474.6,2489.0647616509264,,,
2015-03-02,2479.24,2481.4482870242414,,,
2015-03-03,2396.8,2482.967333170796,,,
2015-03-04,2397.99,2404.348092753798,,,
2015-03-05,2366.9,2398.5384178497075,,,
2015-03-06,2371.62,2367.7452195551487,,,
2015-03-09,2429.87,2375.351632665722,,,
2015-03-10,2395.43,2444.4568176931557,,,
2015-03-11,2408.5,2400.3887195969073,,,
2015-03-12,2485.11,2417.2590878084675,,,
2015-03-13,2495.28,2500.70344822443,,,
2015-03-16,2550.86,2508.1840284757154,,,
2015-03-17,2583.2,2558.6099788837223,,,
2015-03-18,2649.64,2591.8182210252976,,,
2015-03-19,2630.24,2664.9049727167835,,,
2015-03-20,2680.68,2638.717626368519,,,
2015-03-23,2720.67,2700.182319799428,,,
2015-03-24,2683.65,2731.4144707695805,,,
2015-03-25,2649.16,2695.193769611779,,,
2015-03-26,2687.76,2660.105095374953,,,
2015-03-27,2689.24,2704.273300771712,,,
2015-03-30,2784.46,2698.4560439314637,,,
2015-03-31,2754.66,2806.4104977517036,,,
2015-04-01,2799.45,2781.7391876212723,,,
2015-04-02,2781.64,2811.019190801627,,,
2015-04-03,2817.18,2789.5656106382216,,,
2015-04-07,2889.45,2824.7037280458007,,,
2015-04-08,2952.08,2902.339964250852,,,
2015-04-09,2931.77,2970.274853148694,,,
2015-04-10,2986.61,2958.0342960048965,,,
2015-04-13,3041.12,2999.642828073951,,,
2015-04-14,3052.41,3054.97310639518,,,
2015-04-15,3053.3,3064.515532187361,,,
2015-04-16,3183.3,3078.3815716580348,,,
2015-04-17,3235.33,3206.7236897534754,,,
2015-04-20,3164.46,3256.1503518756986,,,
2015-04-21,3214.36,3201.9628754081577,,,
2015-04-22,3299.22,3228.0488648327923,,,
2015-04-23,3273.4,3319.587444719493,,,
2015-04-24,3223.96,3286.170216864754,,,
2015-04-27,3308.45,3236.2665983732954,,,
2015-04-28,3282.33,3325.9070595875,,,
2015-04-29,3283.28,3318.2308370977726,,,
2015-04-30,3250.49,3293.094996354867,,,
2015-05-04,3272.0,3262.4306766290338,,,
2015-05-05,3148.81,3275.1640174371337,,,
2015-05-06,3139.02,3167.4078213200078,,,
2015-05-07,3094.88,3161.4817329604675,,,
2015-05-08,3110.45,3101.4992575548963,,,
2015-05-11,3169.13,3112.1138855422537,,,
2015-05-12,3188.31,3177.676084619325,,,
2015-05-13,3141.3,3196.532959063707,,,
2015-05-14,3128.57,3146.705884894305,,,
2015-05-15,3060.41,3131.6147094771754,,,
2015-05-18,2998.39,3065.721530013068,,,
2015-05-19,3116.09,3000.7104812296925,,,
2015-05-20,3122.85,3131.558515877737,,,
2015-05-21,3150.9,3138.9791246932787,,,
2015-05-22,3248.86,3152.9024322303217,,,
2015-05-25,3349.95,3262.3182191815035,,,
2015-05-26,3386.59,3367.0751144329824,,,
2015-05-27,3344.74,3392.232711572006,,,
2015-05-28,3124.62,3356.4673622907176,,,
2015-05-29,3111.33,3154.7537827450856,,,
2015-06-01,3244.32,3118.3488365667763,,,
2015-06-02,3258.31,3261.650670060588,,,
2015-06-03,3238.43,3265.9492086986634,,,
2015-06-04,3299.03,3242.8762796944156,,,
2015-06-05,3303.99,3314.062437244871,,,
2015-06-08,3458.71,3320.5017300993813,,,
2015-06-09,3414.0,3491.986998275138,,,
2015-06-10,3370.38,3435.501198765751,,,
2015-06-11,3347.12,3384.928791720557,,,
2015-06-12,3350.25,3352.831483753335,,,
2015-06-15,3262.48,3355.991734305966,,,
2015-06-16,3179.65,3279.20612130033,,,
2015-06-17,3211.71,3197.229911742847,,,
2015-06-18,3068.49,3218.7059398599854,,,
2015-06-19,2903.06,3081.7987814268863,,,
2015-06-23,3003.16,2924.6953325236445,,,
2015-06-24,3045.24,3013.695078754313,,,
2015-06-25,2943.99,3054.6147897131286,,,
2015-06-26,2736.7,2967.1891014348453,,,
2015-06-29,2678.37,2774.980466365496,,,
2015-06-30,2870.03,2702.9769543774387,,,
2015-07-01,2736.85,2899.078088351801,,,
2015-07-02,2714.25,2753.8276577581946,,,
2015-07-03,2582.27,2729.270654494108,,,
2015-07-06,2750.0,2604.515874472037,,,
2015-07-07,2812.45,2765.6598955245863,,,
2015-07-08,2608.98,2843.747929066986,,,
2015-07-09,2781.08,2654.801012054339,,,
2015-07-10,2898.41,2825.6905037383026,,,
2015-07-13,2869.05,2946.9012686754013,,,
2015-07-14,2763.07,2890.921369972819,,,
2015-07-15,2757.95,2772.820003167602,,,
2015-07-16,2742.85,2766.8134224140895,,,
2015-07-17,2807.06,2746.027602391986,,,
2015-07-20,2783.76,2816.541166725419,,,
2015-07-21,2772.77,2785.14435414198,,,
2015-07-22,2739.79,2776.117304080119,,,
2015-07-23,2790.76,2739.188629765909,,,
2015-07-24,2741.04,2794.0881267339423,,,
2015-07-27,2493.29,2744.5329115346726,,,
2015-07-28,2485.67,2511.8447916020536,,,
2015-07-29,2531.44,2501.409440446437,,,
2015-07-30,2467.37,2532.9970254702985,,,
2015-07-31,2461.24,2473.0635887024896,,,
2015-08-03,2479.72,2463.927043546215,,,
2015-08-04,2534.71,2482.066927281462,,,
2015-08-05,2487.06,2537.6337157853495,,,
2015-08-06,2467.52,2486.737923023438,,,
2015-08-07,2503.8,2471.075237338884,,,
2015-08-10,2617.66,2503.1834663113464,,,
2015-08-11,2590.71,2629.0600818843423,,,
2015-08-12,2561.13,2591.1821171243478,,,
2015-08-13,2580.78,2563.3449540537085,,,
2015-08-14,2577.04,2578.8097599778425,,,
2015-08-17,2550.47,2573.1440098202643,,,
2015-08-18,2407.97,2546.1128486299626,,,
2015-08-19,2430.28,2420.788811156789,,,
2015-08-20,2356.92,2434.024093754412,,,
2015-08-21,2271.36,2359.1506270472746,,,
2015-08-24,2058.25,2278.6977305438527,,,
2015-08-25,1914.05,2070.619627022623,,,
2015-08-26,1942.45,1937.5465196900368,,,
2015-08-27,2094.72,1963.964197985584,,,
2015-08-28,2159.96,2110.777793584942,,,
2015-08-31,2210.45,2168.1322845331765,,,
2015-09-01,2230.32,2222.7271342514728,,,
2015-09-02,2243.63,2245.3339149799813,,,
2015-09-07,2133.98,2260.9331985724966,,,
2015-09-08,2180.13,2145.553137151614,,,
2015-09-09,2211.2,2186.742961307962,,,
2015-09-10,2208.48,2214.8961269979973,,,
2015-09-11,2195.39,2209.8881330217882,,,
2015-09-14,2228.15,2194.723495263828,,,
2015-09-15,2175.17,2229.9092859816387,,,
2015-09-16,2241.95,2173.6096937251564,,,
2015-09-17,2194.82,2256.9010663388544,,,
2015-09-18,2198.99,2201.0847427974163,,,
2015-09-21,2214.45,2198.9282463911672,,,
