,real,predict,ratio
2017-01-03,2307.89,2279.7451436319143,
2017-01-04,2322.21,2301.0348513761064,
2017-01-05,2322.68,2315.1939974155057,
2017-01-06,2308.94,2311.7185493006173,
2017-01-09,2318.34,2301.913028157943,
2017-01-10,2312.6,2316.1483072825395,
2017-01-11,2300.47,2305.766530434241,
2017-01-12,2295.4,2295.7965202509486,
2017-01-13,2308.06,2292.751249678103,
2017-01-16,2337.39,2309.8700836297467,
2017-01-17,2329.6,2334.7516139730415,
2017-01-18,2342.78,2315.9871567702403,
2017-01-19,2334.96,2336.268334128403,
2017-01-20,2347.18,2318.772379319894,
2017-01-23,2347.1,2344.2277643057587,
2017-01-24,2352.42,2341.75198688567,
2017-01-25,2358.7,2342.449958409429,
2017-01-26,2364.02,2353.2143154303812,
2017-02-03,2339.99,2357.5003477238897,
2017-02-06,2343.97,2336.3256475936405,
2017-02-07,2337.53,2343.1963138474966,
2017-02-08,2346.43,2328.01969422561,
2017-02-09,2354.9,2341.9323553823324,
2017-02-10,2368.18,2347.42338627348,
2017-02-13,2379.31,2362.320387640565,
2017-02-14,2373.51,2377.0915195725565,
2017-02-15,2372.19,2371.707485760194,
2017-02-16,2376.76,2366.2954702971083,
2017-02-17,2362.71,2369.5470942414304,
2017-02-20,2394.12,2364.3745777606955,
2017-02-21,2396.88,2391.62633101329,
2017-02-22,2398.19,2392.6915001007237,
2017-02-23,2387.42,2392.6667885446586,
2017-02-24,2389.88,2378.997237632713,
2017-02-27,2370.56,2380.0519530244756,
2017-02-28,2370.71,2359.284746075962,
2017-03-01,2371.93,2362.2208973826873,
2017-03-02,2354.91,2366.9077246900497,
2017-03-03,2347.15,2352.3731512689774,
2017-03-06,2349.89,2347.723071623258,
2017-03-07,2356.29,2340.2533212952103,
2017-03-08,2358.07,2346.530453294764,
2017-03-09,2346.55,2350.9919992226787,
2017-03-10,2339.23,2337.6922991646834,
2017-03-13,2354.89,2329.820406361423,
2017-03-14,2354.9,2344.0053718427143,
2017-03-15,2357.31,2339.930986206188,
2017-03-16,2369.19,2344.853521545977,
2017-03-17,2346.96,2360.349675852489,
2017-03-20,2350.07,2343.2698001378103,
2017-03-21,2357.14,2348.669974958061,
2017-03-22,2338.55,2346.119225006495,
2017-03-23,2347.43,2329.6088332526597,
2017-03-24,2365.6,2344.694873069944,
2017-03-27,2364.43,2360.2214772639973,
2017-03-28,2356.31,2355.226381102071,
2017-03-29,2352.69,2357.273409422155,
2017-03-30,2346.67,2349.2635251750144,
2017-03-31,2359.75,2341.187614060227,
2017-04-05,2384.26,2354.816829613068,
2017-04-06,2390.39,2377.1230497330635,
2017-04-07,2388.27,2376.778137084768,
2017-04-10,2379.16,2382.750956255981,
2017-04-11,2382.11,2370.5687417528306,
2017-04-12,2378.86,2374.284942120222,
2017-04-13,2368.11,2363.8151276800936,
2017-04-14,2355.52,2352.3440480762974,
2017-04-17,2357.52,2342.7062256881118,
2017-04-18,2337.35,2342.2890009832736,
2017-04-19,2325.04,2323.3512063169765,
2017-04-20,2335.65,2313.1608013413615,
