shortMA,mediumMA,longMA,netAsset
6,20,120,4486112.430095024
7,20,120,4279711.9800650235
8,20,120,4673825.166060013
1,21,120,4929766.909360032
2,21,120,5673017.695410028
3,21,120,5242776.45883502
4,21,120,4648482.777525019
5,21,120,5460700.542210019
6,21,120,4312266.135120017
7,21,120,4413275.307330016
8,21,120,4531191.793120016
1,5,121,1925764.4397250314
2,5,121,3693586.7539750445
3,5,121,3869981.216320044
4,5,121,4716418.105960067
5,5,121,1000000.0
6,5,121,1016414.0757800183
7,5,121,1211126.6051600166
8,5,121,1166101.5496300121
1,6,121,2761354.8375500315
2,6,121,4128384.4827500475
3,6,121,4552142.689180041
4,6,121,3788021.919120037
5,6,121,4043600.7708350485
6,6,121,1000000.0
7,6,121,1475178.0416200222
8,6,121,1025524.5047800137
1,7,121,2541421.678580034
2,7,121,3388438.642555039
3,7,121,3987626.8553050365
4,7,121,3507524.7730950266
5,7,121,3584871.2662800285
6,7,121,2821379.19132503
7,7,121,1000000.0
8,7,121,1048510.6550100162
1,8,121,2726796.0166950305
2,8,121,3820255.352315034
3,8,121,4710290.039270044
4,8,121,4400389.021240022
5,8,121,3851007.876855022
6,8,121,4309016.279645023
7,8,121,4052191.343745034
8,8,121,1000000.0
1,9,121,2677677.3179100305
2,9,121,4221189.711045044
3,9,121,4462645.74729503
4,9,121,5100917.690670031
5,9,121,3913479.27289002
6,9,121,3527469.7634350215
7,9,121,3224466.3938750196
8,9,121,2875813.8007500265
1,10,121,3182580.823785032
2,10,121,4773482.071125031
3,10,121,4672520.909945033
4,10,121,4536179.032125022
5,10,121,4442124.777955023
6,10,121,3544096.037300021
7,10,121,3274546.181050019
8,10,121,3304022.920015024
1,11,121,3207400.6263600346
2,11,121,4573445.913425039
3,11,121,5224928.251640025
4,11,121,5171945.47146003
5,11,121,4677547.216850024
6,11,121,4225697.483300014
7,11,121,4889480.691145019
8,11,121,3651927.6257650196
1,12,121,5054795.8655800335
2,12,121,5197498.660850036
3,12,121,5504128.53892503
4,12,121,4699875.582645019
5,12,121,4587690.612540024
6,12,121,4914625.290345017
7,12,121,4396690.323745026
8,12,121,3908040.3363750274
1,13,121,5399823.140200027
2,13,121,5774252.801940032
3,13,121,5675801.093160028
4,13,121,4568532.446105018
5,13,121,4588112.638045021
6,13,121,4531306.056840023
7,13,121,4803828.072260026
8,13,121,3961795.763595025
1,14,121,5442534.3845700305
2,14,121,5852527.538210029
3,14,121,4913985.0377700245
4,14,121,4083259.9845600175
5,14,121,4020077.443155012
