sellJ,buyJ,netAsset
31,64,1173872.2420200305
31,65,1139237.202815031
31,66,1252218.5698950344
31,67,1354512.978465035
31,68,1324899.6359150356
31,69,1349909.8576000354
31,70,1409900.0875800406
31,71,1427948.2007850383
31,72,1284796.8845350344
31,73,1293601.3025500374
31,74,1373877.4401950398
31,75,1379212.2027700392
31,76,1385663.9466200394
31,77,1456529.5824400443
31,78,1396897.0890050442
31,79,1304767.0185800428
31,80,1283342.0682100423
31,81,1492738.757235042
31,82,1478555.5813550476
31,83,1526135.0059300526
31,84,1613911.610770051
31,85,1549087.7139350553
31,86,1552817.7517150557
31,87,1533906.2411800511
31,88,1600752.4776800603
31,89,1539634.7514550616
31,90,1504137.747755058
32,10,834967.2710500092
32,11,808371.87316001
32,12,965461.9340400108
32,13,782703.4219650123
32,14,717802.910775009
32,15,734689.8375850102
32,16,766223.7685900123
32,17,830255.8031300136
32,18,875539.6154400139
32,19,920667.8276600143
32,20,838513.8584500145
32,21,900664.8529250168
32,22,899906.505495017
32,23,923061.7762200162
32,24,833117.1281200156
32,25,780775.7346150153
32,26,851528.421560015
32,27,856330.0827100149
32,28,870396.8162150169
32,29,929625.0606650183
32,30,929625.0606650183
32,31,929625.0606650183
32,32,955821.5941250218
32,33,1062814.3766400209
32,34,1079143.8016350218
32,35,1065632.6441100237
32,36,1050569.825885022
32,37,980853.5310300206
32,38,1000694.0324300207
32,39,1041313.97074002
32,40,1009770.1955150203
32,41,1007175.1233850204
32,42,1029483.2548100236
32,43,1088334.7115050217
32,44,1128902.7083200244
32,45,1088146.4403250231
32,46,1111478.1487950236
32,47,1208614.348315026
32,48,1226030.1701600268
32,49,1298143.051750025
32,50,1257940.3175850238
32,51,1266761.4325850257
32,52,1134576.134560025
32,53,1117871.5828900246
32,54,1142143.4853400257
32,55,1119887.1867900272
32,56,1098486.514585025
32,57,1101519.8986800245
32,58,1073967.5618300242
32,59,1148182.4379900282
32,60,1135491.947655027
32,61,1117465.077285025
32,62,1179509.3849100305
32,63,1169122.4111550301
32,64,1205291.821655031
32,65,1169920.0150800287
32,66,1286413.2766850365
32,67,1389107.6016500369
32,68,1359452.7484900355
32,69,1384291.6393050363
32,70,1447694.2719250394
32,71,1466724.1185300408
32,72,1319084.3182450384
32,73,1329024.769275038
32,74,1411761.4088050374
32,75,1416185.009135041
32,76,1422737.9909350404
32,77,1494974.6612000472
32,78,1433959.0860850464
32,79,1340218.8532850402
32,80,1317466.0042950423
32,81,1532343.893145043
32,82,1517845.7905100468
32,83,1566796.3884650483
32,84,1656003.6084350531
32,85,1589770.8876150544
32,86,1594075.9753900545
32,87,1573880.6807300535
32,88,1643651.365755063
32,89,1580969.674870061
32,90,1544853.6911150578
33,10,834967.2710500092
33,11,808371.87316001
33,12,965461.9340400108
33,13,782703.4219650123
33,14,717802.910775009
33,15,734689.8375850102
33,16,766223.7685900123
33,17,830255.8031300136
33,18,875539.6154400139
33,19,920667.8276600143
33,20,838513.8584500145
33,21,900664.8529250168
33,22,899906.505495017
33,23,923061.7762200162
33,24,833117.1281200156
33,25,780775.7346150153
33,26,851528.421560015
33,27,856330.0827100149
33,28,870396.8162150169
33,29,929625.0606650183
33,30,929625.0606650183
33,31,929625.0606650183
33,32,955821.5941250218
33,33,1062814.3766400209
33,34,1079143.8016350218
33,35,1065632.6441100237
33,36,1050569.825885022
33,37,980853.5310300206
33,38,1000694.0324300207
33,39,1041313.97074002
33,40,1000562.1787950225
33,41,1016420.9951450222
33,42,1037537.1054300204
33,43,1096083.4935450247
33,44,1137774.761410021
33,45,1095939.4372600215
33,46,1119626.7945550214
33,47,1218517.813805021
33,48,1236036.5610150227
33,49,1308714.6746200281
33,50,1267053.2749650255
33,51,1276129.946200027
33,52,1142838.981800023
33,53,1126098.7310350232
33,54,1161188.2767350252
33,55,1138343.8698300282
33,56,1115000.7916200263
33,57,1118124.9046900265
33,58,1090524.1071800268
33,59,1165567.4208050298
33,60,1152684.3914100276
33,61,1135223.1501950293
33,62,1198359.834820029
33,63,1187288.0039150277
33,64,1224758.8597450296
33,65,1187683.9341250306
33,66,1306986.7568250343
33,67,1410789.2297900345
33,68,1381233.133750034
33,69,1406317.7205750346
33,70,1471222.7953400393
33,71,1489375.6922900393
33,72,1341031.0810800379
33,73,1350689.1931350345
33,74,1437014.7586950378
33,75,1438167.6199950404
33,76,1445730.4394750406
33,77,1517763.423400047
33,78,1456443.6389350486
33,79,1361092.107690041
33,80,1339534.157100042
33,81,1557747.4736500448
33,82,1543623.1560200453
33,83,1591201.3359000445
33,84,1681456.5965850542
33,85,1615601.9133800562
33,86,1619591.3109200539
33,87,1599814.4181150584
33,88,1669904.6732700618
33,89,1608364.9084700602
33,90,1570244.0231150633
34,10,834496.7095850096
34,11,807350.3267500096
34,12,963591.5666350105
34,13,782687.0622650115
34,14,718017.1748900093
34,15,734843.0162400106
34,16,766097.6984700125
34,17,830065.4135300141
34,18,875012.7020400142
34,19,969035.9198350146
34,20,883755.3411700147
34,21,949011.1877300142
34,22,948054.580460014
34,23,972703.1045400153
34,24,877804.1000200157
34,25,822956.4628800153
34,26,896957.2967450157
34,27,901200.4014150157
34,28,916552.4621250166
34,29,980750.3299250181
34,30,980750.3299250181
34,31,980750.3299250181
34,32,1006910.8905250209
34,33,1119249.2662650207
34,34,1136888.7565650237
34,35,1122674.4210800221
34,36,1105393.3294100221
